Date,Time,T02,T04,T06,T08,T09,T12,T13,T14,T17,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T33,T35,T36,T37,T39,T40,T41,T42,T43,T44,T46,T47,T48,T49,T51,T52,T53,T55,T56,T57,T58,T59,T60
2021-08-02,4:00:00,4.573,12.072,5.531,11.451,10.14,5.592,11.108,10.559,10.1,3.564,10.14,12.064,8.574,10.059,6.063,4.55,4.085,6.12,5.075,4.085,12.147,6.547,9.577,3.555,5.577,4.631,8.023,7.566,6.108,10.643,9.626,6.064,10.564,3.507,10.58,11.081,4.569,8.098,10.105,10.14,4.538,5.09,10.602,9.083,8.571
2021-08-02,8:00:00,4.071,11.572,5.531,10.95,10.642,5.592,10.607,10.559,10.1,3.564,10.642,11.563,8.574,10.56,6.063,4.55,4.085,6.12,5.577,4.085,11.144,6.547,10.079,3.555,5.577,4.631,8.023,7.566,6.108,10.643,9.626,5.563,10.564,3.507,10.58,10.58,4.067,7.596,10.607,10.642,4.538,5.09,11.103,9.585,8.07
2021-08-02,12:00:00,4.071,12.072,5.531,11.451,11.645,5.09,11.108,11.561,11.101,3.564,11.645,12.064,8.072,11.061,6.063,4.55,4.085,6.12,5.075,4.085,12.147,6.046,11.082,3.555,5.577,4.631,8.023,7.065,5.606,11.646,10.128,5.563,11.566,3.507,13.088,11.583,4.067,7.094,11.61,11.144,4.538,5.09,12.106,10.59,8.07
2021-08-02,16:00:00,4.071,13.074,5.531,12.451,12.649,5.09,11.61,12.062,11.602,3.564,11.645,12.565,8.574,11.563,6.063,4.55,4.085,5.619,5.075,4.085,13.651,6.547,11.583,3.555,5.577,4.631,7.522,7.065,5.606,12.147,10.631,5.563,13.069,3.507,14.09,12.084,4.067,7.094,12.613,11.645,4.538,5.09,13.609,11.594,8.07
2021-08-02,20:00:00,4.071,11.572,5.531,10.95,10.642,5.592,10.607,10.559,10.1,3.564,10.642,11.563,8.574,10.56,5.561,4.55,4.085,5.619,5.075,3.583,11.646,6.547,10.079,3.555,5.577,4.631,7.522,7.065,5.606,11.144,10.128,5.563,11.566,3.507,12.085,10.58,4.067,7.094,10.607,10.642,4.538,5.09,11.103,9.585,8.07
2021-08-03,0:00:00,4.071,9.068,5.531,7.948,7.629,5.09,8.098,8.054,7.596,3.564,7.629,9.557,8.072,7.551,5.561,4.55,4.085,5.619,5.075,3.583,8.636,6.046,7.57,3.555,5.075,4.631,7.522,7.065,5.606,7.633,8.119,5.563,9.06,3.507,7.068,8.072,4.067,7.094,8.098,8.132,4.538,5.09,8.094,7.072,7.569
2021-08-03,4:00:00,4.071,7.566,5.028,6.447,6.625,5.09,7.094,7.052,6.093,3.564,6.625,8.053,7.57,6.547,5.561,4.55,4.085,5.619,5.075,3.583,7.13,5.544,6.567,3.555,5.075,4.631,7.522,7.065,5.606,6.127,7.113,5.563,7.557,3.507,6.063,6.567,4.067,6.592,7.094,7.127,4.538,5.09,6.589,6.067,7.068
2021-08-03,8:00:00,4.071,8.067,5.028,6.948,6.625,4.587,7.094,7.052,6.594,3.062,6.625,8.053,6.567,7.049,5.561,4.047,3.583,5.118,5.075,3.583,7.13,5.042,6.567,3.555,5.075,4.129,7.02,6.565,5.104,7.131,7.113,5.062,8.058,3.006,7.57,7.069,3.564,6.09,7.596,7.127,4.538,5.09,7.592,6.569,6.567
2021-08-03,12:00:00,3.569,10.07,4.526,9.95,9.638,4.587,8.098,9.056,9.098,3.062,9.136,9.557,6.567,9.557,5.059,4.047,3.583,5.118,5.075,3.583,9.639,5.042,8.574,3.555,5.075,4.129,6.518,6.064,5.104,10.643,8.119,4.561,10.564,3.006,12.586,9.577,3.564,5.587,10.105,9.136,4.538,4.588,10.602,9.585,6.066
2021-08-03,16:00:00,3.569,16.076,4.526,17.454,15.156,4.587,10.607,12.563,16.107,3.062,14.153,12.565,7.068,13.568,5.059,4.047,3.08,5.118,4.573,3.08,11.646,5.042,11.583,3.555,4.573,3.627,6.518,6.064,4.602,13.651,11.133,4.561,14.571,3.006,18.098,12.084,3.564,5.587,15.119,12.649,4.538,4.588,16.615,14.605,6.567
