Plot_ID,Site,Transect,Surf_geol,Landform,Surf_feat,Surf_feat_ele,Veg_type,Moist_grad,Site_moist,NDVI,NDVI-pos,LAI,Thaw_dep_aug21,Thaw_dep_aug22,Thaw_dep_aug23,Water_dep_aug21,Water_dep_aug22,Water_cov_jul23,Water_dep_aug23,Snow_dep_spr22,Snow_density_spr22,swe_spr22,Snow_dep_spr24,Veg_ht_jul23,Veg_ht_21-22,Moss-thick-live,Org_thick,Species richness,Vol_moist,Biomass_shrub_dec,Biomass_shrub_everg,Biomass_gram_livedead,Biomass_forb,Biomass_horsetail,Biomass_lichen,Biomass_litter,Biomass_moss,Biomass_total
21-19,nirpo,T9,Qti,DLir1,DP,n,W2,wet tundra,8,0.51398309,0.51398309,0.68,47.6,52.6,53.25,0.8,1.7,4,1,43,0.24,9.3,36.2,16,10,1,19,15,76.22,0,0,186,0,39,0,24.9,269.7,519.6
21-20,nirpo,T9,Qsg,R,HCP1,c,M1,moist tundra,5,0.49357078,0.49357078,0.23,52,42,48.25,0,0,0,0,26,0.27,8,14,6,5,2,24,25,50.94,2.3,273.4,81.8,63.7,22.4,77.7,415.5,355.2,1292
21-21,nirpo,T9,Qsg,R,HCP2,c,M1,moist tundra,5,0.53840642,0.53840642,0.38,50.8,42.8,49,0,0,0,0,18,0.21,4.9,14.2,8.3,5,2,24,23,26.72,5.5,176.4,88.9,7.8,0,72.1,272.6,628.3,1251.6
21-22,nirpo,T9,Qsg,R,HCP2,c,M1,moist tundra,5,0.53789079,0.53789079,0.28,48,38.8,42.75,0,0,0,0,37,0.25,8.6,27.6,9.3,10,5,23,22,59.39,50.4,166.9,159.9,2.4,6.9,37.6,342.2,350.8,1117.1
21-23,nirpo,T9,Qti,DLir1,DP,n,W1,wet tundra,8,0.59460842,0.59460842,0.68,45.6,50.8,53,0,0.8,0,0.75,50,0.28,14.8,42.6,13.5,10,2,20,16,58.78,30.3,4.1,208,2.5,55.1,0,30.3,563.4,893.7
21-24,nirpo,T9,Qti,DLir1,DP,r,M1,moist tundra,5,0.50298586,0.50298586,0.45,59.2,48.2,47.75,0,0,0,0,34,0.28,15,21.2,7,8,3,26,21,51.56,1.4,230.2,143,0,19.3,43.9,114.3,531.4,1083.5
21-25,nirpo,T7,Qti,L2,L2,n,L2,aquatic,9,0.19625886,0.19625886,0.15,52,55.8,57.5,0,0.5,0,0,39,0.27,10.2,39.6,11.3,5,0,32,2,73.39,0,0,17.7,0,0,0,0,0,17.7
21-26,nirpo,T7,Qti,L2,L2,n,L2,aquatic,9,0.3092942,0.3092942,0.15,48,59.8,60.75,0,1,0.5,0,44,0.29,12.6,37,11,5,0,30,2,69.89,0,0,32.3,0,0,0,0,0,32.3
21-27,nirpo,T7,Qti,DLir2,LCP1,b,W1,wet tundra,8,0.48666249,0.48666249,0.73,54.6,58.6,62,0,0.3,0,0,47,0.25,12.4,37.6,18.5,10,1,25,12,38.5,0,0,208.8,0,1.6,0,0,1.1,211.5
21-28,nirpo,T7,Qti,DLir2,LCP1,b,W2,wet tundra,9,0.56261452,0.56261452,1.01,47.6,59.2,55.5,4.2,8,85,8,51,0.3,14.5,42.4,24.8,15,2,30,10,59.11,0,0,178.2,0,1.5,0,0,60.8,240.5
21-29,nirpo,T7,Qti,DLir2,LCP1,b,W1,wet tundra,8,0.58669258,0.58669258,1.02,52,62.6,63,0,3.2,10,2.25,36,0.27,10.4,35,22.5,20,2,41,15,62.96,0,0,178.5,1.9,32,0,22.9,413.2,648.5
21-30,nirpo,T7,Qti,DLir2,LCP1,r,M3,moist tundra,6,0.61124018,0.61124018,0.28,50.8,51.8,56.75,0,0,0,0,30,0.27,8.5,32.4,8.5,10,4,44,21,67.82,28.3,53.4,254.9,3.2,19.6,0,127.7,538.3,1025.4
21-31,nirpo,T7,Qti,DLir2,LCP2,t,A1t,aquatic,9,0.53742406,0.53742406,0.56,48,63.8,49.5,15.2,19.8,95,17,53,0.28,14.3,43.6,24.3,30,5,32,4,43.23,0,0,336.9,0,0,0,0,142.4,479.3
21-32,nirpo,T7,Qti,DLir2,LCP1,t,A1t,aquatic,8,0.66327789,0.66327789,1.27,45.6,54.8,50,6.4,10,93,9.25,54,0.33,19.5,74.4,25.5,20,4,39,5,74.06,0,0,343,0,2.8,0,0,218.2,564
21-33,nirpo,T7,Qti,DLir2,LCP2,b,W2,wet tundra,9,0.59842973,0.59842973,0.72,59.2,70.8,66.25,6.6,9,85,10.75,52,0.29,16.7,46.2,26.3,20,3,38,12,46.57,0,0,228.3,0,0.6,0,0,56.8,285.7
21-34,nirpo,T7,Qti,DLir2,LCP1,r,M3,moist tundra,6,0.61540318,0.61540318,0.25,52,50,56.75,0,0,0,0,43,0.28,13.6,38.4,10.5,10,1,40,18,69.61,23.1,89.3,126.3,2.5,15,0,66.5,211.7,534.4
21-35,nirpo,T7,Qti,DLir2,LCP2,t,A1t,aquatic,9,0.61741439,0.61741439,0.87,48,67.6,46,13.4,20.4,100,21.75,53,0.31,18.2,38.2,27.5,30,5,30,3,40.27,0,0,168.4,0,0,0,81.1,72.8,322.3
22-01,nirpo,Pingo,Qti,P,N,n,D1,dry tundra,3,0.54028292,0.54028292,0,120,120,130,0,0,0,0,,,,5.4,1.5,1,0.5,16.5,26,32.02222222,0,504.2,7.9,29.8,0,83.5,120,170.4,915.8
22-02,nirpo,Pingo,Qti,P,N,n,D1,dry tundra,3,0.56743363,0.56743363,0,120,120,130,0,0,0,0,,,,8.8,1.5,1.8,0.5,22,22,32.36666667,0,438.3,9,53.1,0,55.3,145.1,58.7,759.5
22-03,nirpo,Pingo,Qti,P,N,n,D1,dry tundra,3,0.59842553,0.59842553,0.12,98.67,98.66666667,125,0,0,0,0,,,,5.2,2.3,1.4,0.4,43,24,40.39444444,0,402.7,14.3,74.6,0,41,177.2,102.5,812.3
22-04,nirpo,Pingo,Qti,P,H,n,D2,dry tundra,5,0.52022387,0.52022387,0.12,72.8,72.8,125,0,0,0,0,,,,33.6,2.3,3.3,0.7,14,42,36.48888889,49.8,283.2,5.4,36.1,5.5,55.3,135.9,385.6,956.8
22-05,nirpo,Pingo,Qti,P,H,n,D2,dry tundra,5,0.49957075,0.49957075,0.27,94.2,94.2,126,0,0,0,0,,,,27.4,4,2.7,9.6,28,40,55.10555556,18.4,433.9,24.2,63.3,8.6,72.7,103.3,573.6,1298
22-06,nirpo,Pingo,Qti,P,H,n,D2,dry tundra,6,0.5344047,0.5344047,0.31,87.4,87.4,108,0,0,0,0,,,,30,5,9,9.5,28,39,62.05,8.3,254.4,33.6,3.9,9.4,46.7,109.8,119.4,585.5
22-07,nirpo,Lake,Qti,L2,L2,n,A1,aquatic,10,0.45125505,0.45125505,0.75,55.6,55.6,58.5,9.2,9.2,7,3.5,,,,44.8,25.5,23.2,0,32+,2,59.48333333,0,0,173.2312,0,0,0,25.7654,0,198.9966
22-08,nirpo,Lake,Qti,L2,L2,n,A1,aquatic,10,0.43246073,0.43246073,0.27,37.4,37.4,60.25,17.4,17.4,95,9.5,,,,34.2,30.8,34.6,0,38+,3,69.71666667,0,0,123.8932,0,0,0,16.446,0,140.3392
22-09,nirpo,Lake,Qti,L2,L2,n,A1,aquatic,10,0.37035661,0.37035661,0.27,43.8,45.4,61.25,22.4,22.4,100,19.75,,,,37.2,30.8,35.2,0,28+,2,56.81111111,0,0,434.1744,0,0,0,30.151,0,464.3254
22-10,nirpo,Lake,Qti,L2,L2,n,A2,aquatic,10,0.08723674,0.08723674,0.11,45.2,45.2,42.75,47.8,47.8,100,60,,,,46.6,18.8,56.6,0,34+,5,63.81666667,0,0,129.9234,0,0,0,13.705,14.2532,157.8816
22-11,nirpo,Lake,Qti,L2,L2,n,A2,aquatic,10,0.37412952,0.37412952,0.34,42,42,51.5,33.6,33.6,100,40,,,,38.6,24,48.4,10,19,4,45.01111111,0,0,395.2522,13.1568,0,0,61.9466,707.7262,1178.0818
22-12,nirpo,Lake,Qti,L2,L2,n,A2,aquatic,10,0.40954225,0.40954225,0.5,37.2,37.2,51.5,33.8,33.8,100,23.75,,,,44,20.3,16.4,16.4,8,5,69.14444444,0,0,191.3218,11.5122,0,0,81.1336,622.7552,906.7228
22-13,nirpo,Pingo,Qti,P,Z,n,Dz,dry tundra,5,0.79423671,0.79423671,0.61,58,58,82,0,0,0,0,,,,4.4,6.8,8,1.6,36,20,43.76666667,0,195.8,194.1,53.5,0,0,212.7,168.7,824.8
22-14,nirpo,Pingo,Qti,P,H,n,Dsn,dry tundra,4,0.64206036,0.64206036,0.48,99,99,121,0,0,0,0,,,,53.6,5.5,6.8,1.4,18,41,51.12222222,17.9,742.9,6.6,6.1,9.5,81.8,170.8,348.6,1384.2
22-15,nirpo,T8,Qti,DLir1,BM,n,Mz,moist tundra,5,0.69836472,0.69836472,0.62,33.6,33.6,43.25,0,0,0,0,,,,11.6,12.5,6.8,2,24+,33,60.74444444,163.7,124.2,75.7,13.3,5.1,2.4,160.7,340.6,885.7
21A-01,jorgenson,JS,Qau,RS,L3,n,A3t,aquatic,10,,,,45.6,31.6,,40.4,55.6,,,50,0.29,15.1,,,39.67,22.67,19,2,81.27,3.29,0,0,69.08,0,0,0,165.56,237.93
21A-02,jorgenson,JS,Qau,RS,L3,n,A3t,aquatic,10,,,,38.2,20,,48.4,66.8,,,62,0.33,19.5,,,0,43.67,16,2,63.42,1.1,0,0,0,0,0,0,2607.86,2608.96
21A-03,jorgenson,JS,Qau,RS,L3,n,A4t,aquatic,10,,,,54.4,45,,52.8,61.8,,,61,0.29,16.4,,,15.67,6.33,17,5,44.88,64.14,0,0,44.41,0,0,0,13.16,121.7
21A-04,jorgenson,JS,Qau,RS,L3,n,A3t,aquatic,10,,,,39,45.6,,69.6,75.2,,,65,0.3,16.1,,,0,13.33,32,1,72.14,0,0,0,4.93,0,0,0,220.93,225.86
21A-05,jorgenson,JS,Qau,RS,L3,n,A3t,aquatic,10,,,,37.6,23.4,,49.6,59,,,60,0.32,15.8,,,47,39.67,24,2,77.07,0,0,4.39,27.96,0,0,0,2182.99,2215.34
21A-06,jorgenson,JS,Qau,RS,L3,n,A3t,aquatic,10,,,,40.8,36.4,,59.4,62,,,55,0.41,23.1,,,32,26.67,12,6,ND,7.13,0,0,26.31,0,0,0,1042.16,1075.6
21A-07,jorgenson,JS,Qau,RS,L3,n,L3,aquatic,10,,,,50,46,,58.2,61.8,,,52,0.41,23.1,,,9.67,8.33,18,5,52.77,12.61,0,4.93,6.03,0,0,81.14,129.38,234.09
21A-08,jorgenson,JS,Qau,RS,L3,n,A3t,aquatic,10,,,,50.6,44.6,,55,59.6,,,66,0.3,16.5,,,23.67,18.33,22,5,53.74,0.55,0,12.61,0,0,0,0,310.84,324
21A-09,jorgenson,JS,Qau,RS,L3,n,A3t,aquatic,10,,,,48.4,49.6,,45.4,48.6,,,74,0.31,20.5,,,0,19,21,2,57.53,74.01,0,55.37,0,0,0,0,2017.43,2146.81
21A-10,jorgenson,JS,Qau,RS,L3,n,A3t,aquatic,10,,,,45.6,32,,65.6,93.6,,,85,0.33,26.1,,,14.3,12,20,5,61.27,0,0,71.82,0,0,0,0,4205.91,4277.73
21A-11,jorgenson,JS,Qau,RS,L3,n,A3t,aquatic,10,,,,50.8,35,,37,55,,,70,0.25,12.5,,,32.3,17,24,6,59.43,0,0,25.77,0,0,0,0,3368.78,3394.55
21A-12,jorgenson,JS,Qau,RS,L3,n,L3,aquatic,10,,,,47,31.6,,57.2,75.2,,,57,0.25,12.5,,,4,7.67,24,4,65.83,3.84,0,36.18,0,0,0,10.42,57.01,107.45
21A-13,jorgenson,JS,Qau,RS,L3,n,A4t,aquatic,10,,,,45.4,23.8,,65.2,83.2,,,67,0.3,20.3,,,19.67,4.33,24,2,74.87,0,0,0,36.73,0,0,0,0.55,37.28
21A-14,jorgenson,JS,Qau,RS,L3,n,L3,aquatic,10,,,,52,31.4,,61,81,,,56,0.28,15.8,,,12,3,24,4,57.9,9.87,0,15.9,0,0,0,40.57,111.29,177.62
21A-15,jorgenson,JS,Qau,RS,L3,n,A3t,aquatic,10,,,,54.2,24.8,,49.2,78,,,81,0.29,25.7,,,28.67,34.67,9,5,74.66,1.64,0,2.19,0,0,0,0,3244.89,3248.73
21A-16,jorgenson,JS,Qau,RS,L3,n,L3,aquatic,10,,,,58,45,,42.2,58,,,89,0.29,25.7,,,8,10.67,21,5,66.14,6.03,0,26.31,0,0,0,0,541.09,573.43
21A-17,jorgenson,JS,Qau,RS,L3,n,A4t,aquatic,10,,,,54,38.2,,45.8,65,,,73,0.29,22.9,,,20,5,9,4,48.51,2.74,0,10.96,103.61,0,0,0,4.93,122.25
21A-18,jorgenson,JS,Qau,RS,L3,n,A3t,aquatic,10,,,,38.6,33.6,,61.8,67.4,,,73,0.28,18.9,,,57,46.67,17,3,47.06,0,0,0,0,0,0,0,1639.71,1639.71
21A-19,jorgenson,JS,Qau,RS,L3,n,L3,aquatic,10,,,,45,27.6,,58,73,,,68,0.28,18.9,,,37.67,7.33,24,3,74.57,9.32,0,26.31,0,0,0,0,281.23,316.87
21A-21,nirpo,T6,Qau,RS,L3,n,A3t,aquatic,10,,,,38,33.4,40.25,34,42.2,100,39,52,0.31,16.7,46.2,NA,0,25,7,3,62.01,0,0,2.19,0,0,0,0,3547.5,3549.69
21A-22,nirpo,T6,Qau,RS,L3,n,A4t,aquatic,10,-0.14669078,ND,0,58.2,41.8,57.25,48.6,56.6,100,51,75,0.3,18.7,89.4,0,14.33,0,17,2,42.52,0,0,0,166.11,0,0,0,1.1,167.21
21A-23,nirpo,T6,Qau,RS,L3,n,A3t,aquatic,10,,,,51.8,39.2,50,49.4,55,100,52.5,81,0.32,29.6,85.8,NA,23.67,24.67,17,5,61.89,0,0,3.29,0,0,0,0,3082.62,3085.91
21A-24,nirpo,T6,Qau,RS,L3,n,L3,aquatic,10,,,,53.6,53.4,50.5,61,59.6,100,63.5,76,0.32,29.6,85.8,NA,0,7.33,15,2,48.72,39.47,0,48.79,0,0,0,260.95,188.59,537.8
21A-25,nirpo,T6,Qau,RS,L3,n,A4t,aquatic,10,,,,51.6,46.8,52.5,59.8,58.4,100,59.75,58,0.27,15.1,70,NA,11.33,4.33,12,4,58.89,3.84,0,9.32,89.36,0,0,21.93,2.74,127.19
21A-26,nirpo,T6,Qau,RS,L3,n,A3t,aquatic,10,0.21222631,0.21222631,0.03,38.8,27,42.25,49.4,60.2,100,48.25,65,0.3,18.2,60.4,1.3,0,43,12,2,69.78,6.03,0,13.16,0,0,0,0,4702.04,4721.23
