Mission,AGCID,Date,Time,TempC
2021,T02,4/29/2022,16:00,-11.516
2021,T02,4/29/2022,20:00,-11.013
2021,T02,4/30/2022,0:00,-11.013
2021,T02,4/30/2022,4:00,-11.013
2021,T02,4/30/2022,8:00,-11.013
2021,T02,4/30/2022,12:00,-11.013
2021,T02,4/30/2022,16:00,-11.013
2021,T02,4/30/2022,20:00,-11.013
2021,T02,5/1/2022,0:00,-10.509
2021,T02,5/1/2022,4:00,-10.509
2021,T02,5/1/2022,8:00,-10.509
2021,T02,5/1/2022,12:00,-10.509
2021,T02,5/1/2022,16:00,-10.509
2021,T02,5/1/2022,20:00,-10.006
2021,T02,5/2/2022,0:00,-10.006
2021,T02,5/2/2022,4:00,-10.006
2021,T02,5/2/2022,8:00,-10.006
2021,T02,5/2/2022,12:00,-10.006
2021,T02,5/2/2022,16:00,-10.006
2021,T02,5/2/2022,20:00,-10.006
2021,T02,5/3/2022,0:00,-10.006
2021,T02,5/3/2022,4:00,-10.006
2021,T02,5/3/2022,8:00,-10.006
2021,T02,5/3/2022,12:00,-10.006
2021,T02,5/3/2022,16:00,-10.006
2021,T02,5/3/2022,20:00,-9.503
2021,T02,5/4/2022,0:00,-9.503
2021,T02,5/4/2022,4:00,-9.503
2021,T02,5/4/2022,8:00,-9.503
2021,T02,5/4/2022,12:00,-9.503
2021,T02,5/4/2022,16:00,-9.503
2021,T02,5/4/2022,20:00,-9.503
2021,T02,5/5/2022,0:00,-9.503
2021,T02,5/5/2022,4:00,-9.503
2021,T02,5/5/2022,8:00,-9.503
2021,T02,5/5/2022,12:00,-9.503
2021,T02,5/5/2022,16:00,-9.503
2021,T02,5/5/2022,20:00,-9.503
2021,T02,5/6/2022,0:00,-9.503
2021,T02,5/6/2022,4:00,-9.503
2021,T02,5/6/2022,8:00,-9.503
2021,T02,5/6/2022,12:00,-9.503
2021,T02,5/6/2022,16:00,-8.999
2021,T02,5/6/2022,20:00,-8.999
2021,T02,5/7/2022,0:00,-8.999
2021,T02,5/7/2022,4:00,-8.999
2021,T02,5/7/2022,8:00,-8.999
2021,T02,5/7/2022,12:00,-8.999
2021,T02,5/7/2022,16:00,-8.999
2021,T02,5/7/2022,20:00,-8.496
2021,T02,5/8/2022,0:00,-8.496
2021,T02,5/8/2022,4:00,-8.496
2021,T02,5/8/2022,8:00,-8.496
2021,T02,5/8/2022,12:00,-8.496
2021,T02,5/8/2022,16:00,-8.496
2021,T02,5/8/2022,20:00,-7.993
2021,T02,5/9/2022,0:00,-7.489
2021,T02,5/9/2022,4:00,-7.489
2021,T02,5/9/2022,8:00,-7.489
2021,T02,5/9/2022,12:00,-7.489
2021,T02,5/9/2022,16:00,-7.489
2021,T02,5/9/2022,20:00,-6.986
2021,T02,5/10/2022,0:00,-6.986
2021,T02,5/10/2022,4:00,-6.483
2021,T02,5/10/2022,8:00,-6.986
2021,T02,5/10/2022,12:00,-6.986
2021,T02,5/10/2022,16:00,-6.986
2021,T02,5/10/2022,20:00,-6.986
2021,T02,5/11/2022,0:00,-6.986
2021,T02,5/11/2022,4:00,-6.986
2021,T02,5/11/2022,8:00,-6.986
2021,T02,5/11/2022,12:00,-7.489
2021,T02,5/11/2022,16:00,-7.489
2021,T02,5/11/2022,20:00,-7.489
2021,T02,5/12/2022,0:00,-7.489
2021,T02,5/12/2022,4:00,-6.986
2021,T02,5/12/2022,8:00,-6.986
2021,T02,5/12/2022,12:00,-6.986
2021,T02,5/12/2022,16:00,-6.986
2021,T02,5/12/2022,20:00,-6.986
2021,T02,5/13/2022,0:00,-6.986
2021,T02,5/13/2022,4:00,-6.986
2021,T02,5/13/2022,8:00,-6.986
2021,T02,5/13/2022,12:00,-6.986
2021,T02,5/13/2022,16:00,-6.986
2021,T02,5/13/2022,20:00,-6.986
2021,T02,5/14/2022,0:00,-6.986
2021,T02,5/14/2022,4:00,-6.986
2021,T02,5/14/2022,8:00,-6.986
2021,T02,5/14/2022,12:00,-6.986
2021,T02,5/14/2022,16:00,-6.986
2021,T02,5/14/2022,20:00,-6.986
2021,T02,5/15/2022,0:00,-6.986
2021,T02,5/15/2022,4:00,-6.986
2021,T02,5/15/2022,8:00,-7.489
2021,T02,5/15/2022,12:00,-7.489
2021,T02,5/15/2022,16:00,-7.489
2021,T02,5/15/2022,20:00,-7.489
2021,T02,5/16/2022,0:00,-7.489
2021,T02,5/16/2022,4:00,-7.489
2021,T02,5/16/2022,8:00,-7.489
2021,T02,5/16/2022,12:00,-7.489
2021,T02,5/16/2022,16:00,-7.489
2021,T02,5/16/2022,20:00,-7.489
2021,T02,5/17/2022,0:00,-7.489
2021,T02,5/17/2022,4:00,-7.489
2021,T02,5/17/2022,8:00,-7.489
2021,T02,5/17/2022,12:00,-7.489
2021,T02,5/17/2022,16:00,-7.489
2021,T02,5/17/2022,20:00,-7.489
2021,T02,5/18/2022,0:00,-7.489
2021,T02,5/18/2022,4:00,-7.489
2021,T02,5/18/2022,8:00,-7.489
2021,T02,5/18/2022,12:00,-7.489
2021,T02,5/18/2022,16:00,-7.489
2021,T02,5/18/2022,20:00,-7.489
2021,T02,5/19/2022,0:00,-7.489
2021,T02,5/19/2022,4:00,-7.489
2021,T02,5/19/2022,8:00,-7.489
2021,T02,5/19/2022,12:00,-7.489
2021,T02,5/19/2022,16:00,-7.489
2021,T02,5/19/2022,20:00,-7.489
2021,T02,5/20/2022,0:00,-6.986
2021,T02,5/20/2022,4:00,-6.483
2021,T02,5/20/2022,8:00,-6.483
2021,T02,5/20/2022,12:00,-6.483
2021,T02,5/20/2022,16:00,-6.483
2021,T02,5/20/2022,20:00,-5.98
2021,T02,5/21/2022,0:00,-5.477
2021,T02,5/21/2022,4:00,-5.477
2021,T02,5/21/2022,8:00,-5.477
2021,T02,5/21/2022,12:00,-5.477
2021,T02,5/21/2022,16:00,-5.477
