Site,Borehole ID,Date,Coring instance,Microrelief,Borehole depth (cm),Water depth (cm),Thaw depth (cm),Permafrost table (cm),Depth to massive ice (cm),Massive ice type,"Frozen protective layer (PL1, PL2) (cm)",Intermediate layer (PL3) (cm),"Initial ice wedge classification, 2014-16","Ice wedge classification, 2020",Included in change analysis,Notes,,,,,,,,,,,,,,,,,,
Colleen,T1-200T-6,8/8/2010,Original,R,150,0,NA,NA,No ice wedge,NA,NA,-,SI2,NA,N,Did not redrill.,,,,,,,,,,,,,,,,,,
Colleen,T1-200T-7,8/8/2010,Original,R,160,0,31,43,43,"TCI, WI",12,0,SI2,NA,N,Did not redrill.,,,,,,,,,,,,,,,,,,
Colleen,T1-200T-8,8/8/2010,Original,R,204,0,33,49,49,TCI,16,0,SI2,NA,N,Did not redrill.,,,,,,,,,,,,,,,,,,
Colleen,T1-200T-9,8/8/2010,Original,R,135,0,40,54,67,TCI,27,13,SI2,NA,N,Did not redrill.,,,,,,,,,,,,,,,,,,
Colleen,Mean (n=9,2014,Original,T,85,8.6,46,50,NA,NA,4.6,0.6,NA,NA,NA,Average of all 2014 cores included in analysis,,,,,,,,,,,,,,,,,,
Colleen,Mean (n=9),2020,Redrilled,T,66,14,48,54,NA,NA,10,3.7,NA,NA,NA,Average of all 2020 cores included in analysis,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
